2016-03-18 08:05:04 startup archives install
2016-03-18 08:05:04 install base-passwd:armhf <none> 3.5.37
2016-03-18 08:05:04 status half-installed base-passwd:armhf 3.5.37
2016-03-18 08:05:04 status unpacked base-passwd:armhf 3.5.37
2016-03-18 08:05:04 status unpacked base-passwd:armhf 3.5.37
2016-03-18 08:05:04 configure base-passwd:armhf 3.5.37 3.5.37
2016-03-18 08:05:04 status unpacked base-passwd:armhf 3.5.37
2016-03-18 08:05:04 status half-configured base-passwd:armhf 3.5.37
2016-03-18 08:05:06 status installed base-passwd:armhf 3.5.37
2016-03-18 08:05:06 startup archives install
2016-03-18 08:05:06 install base-files:armhf <none> 8+rpi1
2016-03-18 08:05:06 status half-installed base-files:armhf 8+rpi1
2016-03-18 08:05:06 status unpacked base-files:armhf 8+rpi1
2016-03-18 08:05:06 status unpacked base-files:armhf 8+rpi1
2016-03-18 08:05:06 configure base-files:armhf 8+rpi1 8+rpi1
2016-03-18 08:05:06 status unpacked base-files:armhf 8+rpi1
2016-03-18 08:05:06 status unpacked base-files:armhf 8+rpi1
2016-03-18 08:05:07 status unpacked base-files:armhf 8+rpi1
2016-03-18 08:05:07 status unpacked base-files:armhf 8+rpi1
2016-03-18 08:05:07 status unpacked base-files:armhf 8+rpi1
2016-03-18 08:05:07 status unpacked base-files:armhf 8+rpi1
2016-03-18 08:05:07 status unpacked base-files:armhf 8+rpi1
2016-03-18 08:05:07 status half-configured base-files:armhf 8+rpi1
2016-03-18 08:05:08 status installed base-files:armhf 8+rpi1
2016-03-18 08:05:12 startup archives install
2016-03-18 08:05:12 upgrade dpkg 1.17.26 1.17.26
2016-03-18 08:05:12 status half-configured dpkg 1.17.26
2016-03-18 08:05:12 status unpacked dpkg 1.17.26
2016-03-18 08:05:12 status half-installed dpkg 1.17.26
2016-03-18 08:05:13 status half-installed dpkg 1.17.26
2016-03-18 08:05:13 status unpacked dpkg 1.17.26
2016-03-18 08:05:13 status unpacked dpkg 1.17.26
2016-03-18 08:05:13 configure dpkg 1.17.26 1.17.26
2016-03-18 08:05:13 status unpacked dpkg 1.17.26
2016-03-18 08:05:13 status unpacked dpkg 1.17.26
2016-03-18 08:05:13 status unpacked dpkg 1.17.26
2016-03-18 08:05:13 status unpacked dpkg 1.17.26
2016-03-18 08:05:13 status unpacked dpkg 1.17.26
2016-03-18 08:05:13 status half-configured dpkg 1.17.26
2016-03-18 08:05:13 status installed dpkg 1.17.26
2016-03-18 08:05:14 startup archives install
2016-03-18 08:05:14 install libc6:armhf <none> 2.19-18+deb8u3
2016-03-18 08:05:14 status half-installed libc6:armhf 2.19-18+deb8u3
2016-03-18 08:05:15 status unpacked libc6:armhf 2.19-18+deb8u3
2016-03-18 08:05:15 status unpacked libc6:armhf 2.19-18+deb8u3
2016-03-18 08:05:15 configure libc6:armhf 2.19-18+deb8u3 2.19-18+deb8u3
2016-03-18 08:05:15 status unpacked libc6:armhf 2.19-18+deb8u3
2016-03-18 08:05:15 status unpacked libc6:armhf 2.19-18+deb8u3
2016-03-18 08:05:15 status half-configured libc6:armhf 2.19-18+deb8u3
2016-03-18 08:05:16 status installed libc6:armhf 2.19-18+deb8u3
2016-03-18 08:05:16 startup archives install
2016-03-18 08:05:17 install perl-base:armhf <none> 5.20.2-3+deb8u4
2016-03-18 08:05:17 status half-installed perl-base:armhf 5.20.2-3+deb8u4
2016-03-18 08:05:18 status unpacked perl-base:armhf 5.20.2-3+deb8u4
2016-03-18 08:05:18 status unpacked perl-base:armhf 5.20.2-3+deb8u4
2016-03-18 08:05:18 configure perl-base:armhf 5.20.2-3+deb8u4 5.20.2-3+deb8u4
2016-03-18 08:05:18 status unpacked perl-base:armhf 5.20.2-3+deb8u4
2016-03-18 08:05:18 status half-configured perl-base:armhf 5.20.2-3+deb8u4
2016-03-18 08:05:18 status installed perl-base:armhf 5.20.2-3+deb8u4
2016-03-18 08:05:18 startup archives install
2016-03-18 08:05:18 install mawk:armhf <none> 1.3.3-17
2016-03-18 08:05:18 status half-installed mawk:armhf 1.3.3-17
2016-03-18 08:05:18 status unpacked mawk:armhf 1.3.3-17
2016-03-18 08:05:18 status unpacked mawk:armhf 1.3.3-17
2016-03-18 08:05:18 configure mawk:armhf 1.3.3-17 1.3.3-17
2016-03-18 08:05:18 status unpacked mawk:armhf 1.3.3-17
2016-03-18 08:05:18 status half-configured mawk:armhf 1.3.3-17
2016-03-18 08:05:18 status installed mawk:armhf 1.3.3-17
2016-03-18 08:05:18 startup archives install
2016-03-18 08:05:18 install debconf:all <none> 1.5.56
2016-03-18 08:05:18 status half-installed debconf:all 1.5.56
2016-03-18 08:05:18 status unpacked debconf:all 1.5.56
2016-03-18 08:05:18 status unpacked debconf:all 1.5.56
2016-03-18 08:05:18 configure debconf:all 1.5.56 1.5.56
